2i18.pdb	2i19.pdb	2i09.pdb	2i08.pdb	2i20.pdb	2i12.pdb	2i06.pdb	2i07.pdb	2i13.pdb	2i05.pdb	2i11.pdb	2i10.pdb	2i04.pdb	2i14.pdb	2i15.pdb	2i01.pdb	2i17.pdb	2i03.pdb	2i02.pdb	2i16.pdb
2i11.pdb	26.798789644427682	21.81545584637875	10.280347598500349	18.427837415401825	17.14298856895579	13.899706550919413	21.244312660253502	18.9154158996363	9.861944779891477	17.626486016430032	2.0767302683673223e-14	15.735771222738272	10.905652645537153	20.20395104272199	29.049032753530224	11.02069045635928	18.307718608995458	14.947637702427768	11.604788649373523	13.724523899787027
2i10.pdb	11.735470557240866	9.40491344612358	9.038406551105664	13.21517233933878	13.180299036570485	12.419086627483749	14.967048183527137	2.4577253126501506	8.92132204479204	2.845847793460911	15.735771222738276	2.248301562425755e-14	4.00423838804307	17.00774338913426	7.439908349786829	19.052491683023387	11.833527828564515	13.540181338904574	11.391433378342194	8.215146496141758
2i04.pdb	22.619603638801983	12.17836256537286	11.133800010438893	16.49180369080999	15.603035392895492	11.859266898209281	14.218828659765894	4.987702391787346	11.12402980574465	8.121652144084818	10.905652645537153	4.004238388043077	1.541249553160033e-14	14.209926700172758	9.503403216830105	17.980933993947367	14.916127563313843	11.442878785569242	4.327063672702223	3.2166345154033067
2i14.pdb	13.363024971398337	14.585083127493027	19.571918739270217	10.59422910326112	8.964362982231831	12.70996355280384	6.429902743342019	17.84729259680595	12.708892052043769	20.532078436645655	20.20395104272199	17.00774338913426	14.209926700172746	3.872506053967275e-14	14.462571730403939	3.6369201548612695	16.878825572744525	11.066676060839713	14.82097350426386	13.857089475477085
2i15.pdb	5.526397264127567	15.487990862215247	22.43900124789111	13.476816730976118	18.38683923848996	10.7040851519901	18.07912663592483	6.549186817186048	20.702220211710518	8.404084638019308	29.04903275353024	7.439908349786832	9.503403216830103	14.462571730403955	2.156491949551963e-14	14.659951610943088	10.46841296071677	17.583540759485597	12.178563216097341	9.288596825064817
2i01.pdb	16.41278308327633	14.94862668506359	15.687453100450627	5.7525590305245995	8.44380553131705	8.113435763357128	5.703688683153375	18.79581638841464	14.794016665403557	14.332417108425647	11.020690456359295	19.05249168302342	17.98093399394737	3.636920154861254	14.65995161094308	1.4568819067025513e-14	15.677508408372606	12.877794220567685	13.716518693749336	17.409579408232396
2i17.pdb	9.284621446799344	4.357439388117464	13.705240087247336	12.468449729367167	12.561983047068908	15.681101958767016	15.433115826070289	8.638496691333023	13.559365659343577	14.836341253913755	18.307718608995454	11.833527828564511	14.916127563313847	16.878825572744514	10.468412960716755	15.67750840837259	2.2522698646083545e-14	6.289245513127733	10.484855930590681	10.601552994157926
2i03.pdb	20.89134406590976	6.989052623562542	13.160292165615168	12.006502683155327	8.501032320954542	16.23726542794648	7.81703390353251	13.232835728766938	14.210697785358029	13.743517434163662	14.947637702427786	13.54018133890458	11.442878785569247	11.066676060839717	17.583540759485587	12.877794220567663	6.289245513127731	1.4391131869807492e-14	10.528862104653973	8.358256715085647
2i02.pdb	13.708722295072112	7.893847614567027	15.40681361104502	17.277151370685207	14.881327470662464	12.481375125609741	12.67821625235689	5.358204778810215	11.41423056921613	8.95750049718584	11.604788649373527	11.391433378342176	4.327063672702236	14.82097350426386	12.178563216097363	13.716518693749341	10.484855930590674	10.528862104653978	2.619954470541168e-14	4.7401247973497025
2i16.pdb	18.262954352323224	11.135084581752924	11.348952356854618	13.99332754795144	13.542261002129615	13.360767668658548	13.264756931251414	7.998063355795854	12.51341276720089	8.115818808233803	13.724523899787032	8.215146496141754	3.2166345154032987	13.857089475477096	9.288596825064806	17.409579408232386	10.60155299415791	8.358256715085629	4.740124797349689	2.6752003514278962e-14
